nama orang,geb/overl.,id,actual id,Unnamed: 4,origin,birthYear,deathYear
"Dirks, David, zdl.",1874-1926,301,,,Russia,1874,1926
"Dirks, Heinrich, zdl.",1842-1915,302,,,Russia,1842,1915
"Dittmar, F.J.J.",,303,,,Germany,,
"Dittmar, Grace M., dl.",1910-1942,304,,,United States of America,1910,1942
"Dixon, Herman, zdl.",1908-1994,305,,,United States of America,1908,1994
"Dolman, C., zdl",1911-1991,306,,,Netherlands,1911,1991
"Dommers, A., zdl",1796/7-1841,307,,,Netherlands,1796/7,1841
"Donselaar, W.M., zdl",1820-1883,308,,,Netherlands,1820,1883
"Doorn, dr. C.L. van, zdl",1896-1975,309,,,Netherlands,1896,1975
"Doren, William Th. van, zdl.",,310,,,United States of America,,
"Dörmann, Friedrich, zdl.",1901-1983,311,,,Germany,1901,1983
"Dornsaft, Joh. Wilhelm, zdl.",1847-1915,312,,,Germany,1847,1915
"Dorst, Sybrig, ond.",1905-1992,313,,,Netherlands,1905,1992
"Doty, Elihu, zdl.",1809-1864,314,,,United States of America,1809,1864
"Douwes, D., zdl",-1835,315,,,Netherlands,,1835
"Doyer, Thomas, zdl.",1822-1861,316,,,Netherlands,1822,1861
"Dreckmeier, G.J., arts",1895-1992,318,,,Netherlands,1895,1992
"Drescher, zr. M. (Dekker-)",,319,,,Netherlands,,
"Dresselhaus, Bernhardine",1881-1925,320,,,Germany,1881,1925
"Drinhaus, Peter",1889-1950,321,,,Germany,1889,1950
"Drost, H., zdl.",1865-1940,322,,,Netherlands,1865,1940
"Drost, zr. H.J.",,323,,,Netherlands,,
"Droste, Jan Frederi(c)k, zdl.",1864-1915?,324,,,Netherlands,1864,1915?
"Duinker, F., zdl.,",1912-1943,325,,,Netherlands,1912,1943
"Duker, Willem, ond.",1913-2010,326,,,Netherlands,1913,2010
"Dunnebier, W., zdl",1877-1955,327,,,Netherlands,1877,1955
"Durkstra, ds. Eduard",1909-1987,328,,,Netherlands,1909,1987
"Dürr, dr. Johannes, ond.",1904-1972,329,,,Switzerland,1904,1972
"Dutton, Emily",1860-1939,330,,,United Kingdom,1860,1939
"Duymaer van Twist, A.J., arts",1867 -1923,331,,,Netherlands,1867,1923
"Duyvendak, H.W., zdl",1893–1950,332,,,Netherlands,1893–1950,
"Eck, R. van, zdl",1842-1901,333,,,Netherlands,1842,1901
"Eckert, August, zdl.",1871-1902,334,,,Germany,1871,1902
