nama orang,geb/overl.,id
"Bielefeld, Carl, zdl. (D)",1878-1966,121
"Bielski, zr. Alice I. (VS)",1882-1944?,122
"Bierdrager, Jacob, arts (N)",1903-1984,123
"Bierhuys, M. (N)",,124
"Bierkuis, mw. L., ond. (D)",,125
"Biersteker, zr. Jannetje, (N)",1903-1971,126
"IM GZbl 1971, 138",,127
"Biezen, A. van der, ond. (N)",1901-1930,128
"Bigler, W., zdl. (Zwits.)",1903-1976,129
"Bijkerk, J., ond. (N)",,130
"Bijkerk, Jac., zdl (N)",1887-1978,131
"Bijl, zr. Jansje (N)",1896-1946+,132
"Bijl, Adr. van der, ond. (N)",1898-1945,133
"Bijlefeld, Jan, zdl. (N)",1895-1934,134
"Bijsterveld, Arie, arts (N)",1898-,135
"Bikker, ds. A. (N)",1898-1977,136
"Billmann, H., zdl (D)",1883-1964,137
"Bink, Gerardus L., zwm > zdl (N)",1844-1899,138
"Bittner, Linus H., arts (VS)",1890-1959,139
"Blecher, Friedrich, zdl. (D)",1866-1939,140
"Bliek, A.J., zdl, (N)",1873-1946,141
"Blinde, Joost Hendrik, zdl (N)",1873-1948,142
"Block, mw. Helene (D)",1874-1945,143
"Blomberg, zr. Lamberta H. (N)",1903-1989,144
"Böckmann, mw. Laura (D)",1844-1903,145
"Bodaan, Laurens, zdl (N)",1878-1966,146
"Boddé, J., zdl (N)",1849-1917,147
"Bode, Werner A., zdl (D)",1890-1942,148
"Bode, A. de, zdl (N)",1839-1873,149
"Boer-de Raadt, zr. Sophia Maria Gerardina de (N)",1866-1949,150
"Boer, Pieter de (N)",1876-1961,151
"Boer, Reyer de, zdl (N).",1835-1891,152
Boetzelaer van Asperen en Dubbel­-,1973-1956,153
"dam, C.W.T. baron van (N)",,154
"Bogaards, zr. Antje (N)",1913-,155
"Boger, F., zdl. (D)",1884-1942,156
"Böhl, Bertha, diakones (D)",1886-1972,157
"Bohlken, dr. S., arts (N)",1904-2000,158
"Bokma, zr. J. (N)",,159
"Bokma, zr. Louisa Fred. (N)",1902-,160
"Boland, ds. B.J. (N)",1916-2003,161
"Bolt, zr. Melina (N)",1888-1981,162
"Bolwijn, ds. Albert (N)",1854-1935,163
"Bomas, Willem (N)",1904-1943,164
"Bonebakker, A., arts (N)",1895-1975,165
"Bone, mw. A.E. (N)",,166
"Bonert, Alwine (D)",1910-,167
"Bonn, Peter, zdl. (D)",1851-1929,168
"Bonzel, J.H.M. van, zdl (N)",1892-1944,169
"Boorsma, zr. W. (N)",1887-1939,170
"Booy, J.J., ond. (N)",1892-1956,171
"Borch, Wilhelm, zdl. (D)",1870-1947,172
"Borden, zr. G. van der (N)",1902-1984,173
"Börger, Friedrichzdl., (D)",1878-1934,174
"Bormeister, J.F., zdl. (Rusland)",1784/5-1825,175
"Borst, L., ond. (N)",1877-1946,176
"Borutta, Ludwig, zdl (D)",1879-1959,177
"Bos, mw. zr. D. (N)",,178
"Bos, Gerardus, ond. (N)",1896-1945,179
"Bos, drs. Hilbrand, ond. (N)",1910-,180
"Bos, J. (N)",,181
"Bos, Jan, zdl. (N)",1906-1981,182
"Bos, Sara Jacoba (N)",1909-1967,183
"Bos, zr. M.M. van den (N)",1902-1986,184
"Bosch, Jan, ond. (N)",,185
"Boshuizen, Willem, ond. (N)",1896-1945,186
"Bosman, D.J., ond. (N)",1894-1967,187
"Bosman, dr. F.J., arts (N)",1898-1972,188
"Bossert, R., zdl (N)",1814-1889,189
"Bosshardt, mw. M., ond. (N)", 1883-1945,190
"Bot Jr, Kornelis Adr., zdl (N)",1903-1989,191
"Both, zr. G.A. (N)",1887-1926,192
"Boulogne, Bastiaan, zdl. (N)",1899-1974,193
"Bout, D.C.A., zdl (N)",1883-1969,194
"Bouwer, Pieter J. (N)",1892/3-1971 ,195
"Bovenkamp, J.R. van den, zdl (N)",1865-1901,196
"Bower, Harry C. (VS)",,197
"Braches, Ernst Friedrich, zdl. (D)",1844-1922,198
"Bradley, William Paul (VS)",1897-1985,199
"Brakensiek, Heinrich, zdl. (D)",1865-1933,200
"Braun, K., zdl. (D)",1903-1981,201
"Bregenstroth, Ludwig, zdl. (D)",1881-1961,202
"Bremmer, J., arts (N)",1895-1969,203
"Bretzler, Johann, zdl (D)",1873-1938,204
"Brill, John Wesley (VS)",1904-1985,205
"Brilman, D., zdl. (N)",1898-1972,206
"Brink, Henriëtte Georgine (N)",±1900-,207
"Brink, ds. Hendrikus van den (N)",1904-1982,208
"Brinkman, H.B., ond. (N)",1884-1960,209
"Brinkschmidt, Friedrich, zdl. (D)",1869-1935,210
"Brinkschmidt, Robert, zdl. (D)",1873-1936,211
"Brockhaus, Otto, zdl. (D)",1877-1911,212
"Broek, Gerardus ten, zdl. (N)",1885 -1918,213
"Broekgaarden, G.J., ond. (N)",1898-1942+,214
"Broekmate, Hermann, zdl. (D)",1873-1910,215
"Bron, mw. Geertje (N)",1912-2000,216
"Bronkhorst, mw. Coleta (N)",1902-1973,217
"Brouwer, zr. E. (N)",1889-1957,218
"Brouwer, Jacob G. (N)",1871?-1939,219
"Brouwer, M., zdl (N)",1845-1912,220
"Bruch, August, zdl. (D)",1864-1953,221
"Brückner, Gottlob W., zdl. (D),",1783-1857,222
"Brückner, Wilhelm, zdl. (D)",1878-1945,223
"Brug Sr., O. van der, zdl (N)",1863-1927,224
"Brug Jr., O.E. van der, zdl (N)",1893-1985,225
"Brugghen, zr. A.E.P. van der (N)",1889-1952,226
"Brugghen, mw. Clara M. vd (N)",1884-1977,227
"Bruijn Azn, ds. C. de (N)",1859-1932,228
"Bruijn, R. le, zdl (N)",1799-1829,229
"Bruijne, Gerrit Adriaan de, arts (N)",1906-1963,230
"Bruining, Wernard, zwm (N)",1809-1872,231
"Brummelkamp, R., arts (N)",1897-1994,232
"Buchanan, Rev. C.S. (VS)",,233
"Buchholz, Charlotte (D)",1866-,234
"Buijsman, mw. N. (N)",,235
"Buitelaar, Leendert, arts (N)",1907-1944,236
"Bunker, Edward J. (VS)",,237
"Burger, W. Corn., arts (N)",1912-1999,238
"Burgers, Mar. Alb., zwm (N)",1823-1869,239
"Burgstede, E.C., zdl (N)",1908-1979,240
"Burgt, zr. Amelia van de (N)",,241
"Burton, Richard (GB)",-1828,242
"Buttenaar, H.N., zdl (N)",1787-1833,243
"Carey, Jabez, zdl. (GB)",1793-1862,244
"Carlson, O.A. (VS)",,245
"Cass, Ms. E., ond. (VS)",,246
"Casteren van Cattenburgh, C.L. (N)",1824/5-1854,247
"Cate, zr. H.F. ten, (N)",,248
"Chadwick, Ms. Freda P. (VS)",,249
"Chen, J.T.. zdl. (China)",±1905-,250
"Cheung, F.L., zdl.(China)",±1905-,251
"Chong, C.C., zdl. (China)",±1905-,252
"Christiansen, Julius L.F., zdl. (D)",1844-1934,253
"Chu, S.W., zdl. (China)",±1905-,254
"Clercq, Rijnhart Willem de (N)",1878-1939,255
"Clevering, zr. Hendrika (N)",1890-1957,256
"Clench, Cliff David (Canada)", ±1900-1933,257
"Cole, J. Preston (VS)",,258
"Colenbrander, ds. J.F. (N)",1877-1964,259
"Combe, Emma C. (Zwits.)",1812-1844,260
"Condit, Azubah C. ond. (VS)",±1810-1844,261
"Coolsma, S., zdl (N)",1840-1926,262
"Cornet, Pieter, zdl, (N)",1879-1969,263
"Coutrier, Louise (N)",1910-,264
"Crommelin, ds. Daniël, zdl (N)",1879-1954,265
"Cseszkó, G., arts (Hong.)",1902-1945,266
"Culemann, Herrmann H., zdl. (D)",1855-1909,267
"Cusell, C.J., zdl (N)",1837-1869,268
"Dabritz, Edward W., ond. (VS)",,269
"Dake, W.J.L., arts (N)",1890-1973,270
"Dalen, Marinus van, zdl (N)",1831-1899,271
"Dam, mw. zr. C. van (N)",,272
"Dammerboer, J., zdl (N)",1830-1925,273
"Damschen, Joh., zdl. (D)",1911-1966,274
"Dannert, Theodor, zdl. (D)",1875-1959,275
"Dannert, dr. W., arts (D)",1894-1981,276
"Dassel, Adolf, zdl. (D)",1866-1945,277
"Dedecker, O., zdl. (Belgia)",1887-1968,278
"Deibler, C. Russell (VS)",1905-1943,279
"Deinum, Sjoukje (N)",-1934,280
