nama orang,geb/overl.,id
"Hartfeld, zr. S. (D)",,534
"Hartweg, Friedrich Wilhelm, zdl (D)",1891-1935,535
"Hartwig, Friedrich, zdl (D)",1880-1930,536
"Haspers, Geziena (N)",1906-1979,537
"Hasselmeyer, zr. E. (N)",,538
"Hasselt, F.J.F. van, zdl (N)",1870-1939,539
"Hasselt, J.L. van, zdl (N)",1839-1930,540
"Hasselt, W.H.Th. van, zdl (N)",1872/3-1930,541
"Hawthorne, Kath. Rader, zdl (VS)",1891-1980,542
Hazewindus. zr. H. (N),1902-1986,543
"Hebbenaar, zr. Elberta C.L. (N)",1909-1942,544
"Hebeler, Heinrich, zdl (D)",1905-1982,545
"Hecker, Philipp. zdl (D)",1892-1984,546
"Heemskerk, mw. M., ond.",,547
"Heen, zr. A. (N)",,548
"Heerig, Chr., zdl (D)",1867-1918,549
"Heeringa, Gosse, ond. (N)",1906-1985,550
"Heertjes, N., ond. (N)",1880-1953,551
"Heidema, zr. A.J. (N)",1903-1997,552
"Foto GZbl 1936, 111",,553
"Heider, Heinrich (D)",1848-> 1892,554
"Heienbrock, Wilhelm, zdl (D)",1855-1949,555
"Heijmering, G., zdl (N)",1792-1867,556
"Hein, Piet, ond. (N)",1895-,557
"Heine, Carl W., zdl (D)",1833-1897,558
"Heine, Ludwig (D)",1855-1884,559
ongehuwd gebleven,,560
"Heintze, K.E.E., zdl (D)",1897-1981,561
"Hekstra, Doeke, ond. (N)",1901-1972,562
"Hekstra-Koolstra, M.A. (N)",1903-1945,563
"Held, dr. Gerrit Jan (N)",1906-1955,564
"Hellendoorn, G.J., zdl (N)",1792/3-1839,565
"Heller, Arn. H.O., zdl. (D)",1864-1936,566
"Hellweg, Friedrich Wilh., zdl (D)",1855-1886,567
ongehuwd gebleven,,568
"Helsdingen, mw. J.M. van (N)",1887-1962,569
"Henkel, Anna (D)",1888-1976,570
"Hendrich, Carl Christian, zdl (D)",1837-1894,571
"Hendrich (Jr.), Carl Chr., zdl (D)",1878-1964,572
"Hendriks, Hein, zdl (N)",1854-1917,573
"Henke, Dorothea (D)",1875-1945,574
"Henking, H., zdl (Zwits.)",1884-1962,575
"Hennemann, Johann Ph., zdl (D)",1835-1913,576
"Hensgen, Paul, zdl (D)",1879-1918,577
"Hering, F.W. zdl (D)",1899-1942,578
"Herling, Wilhelm. zdl (D)",1874-1912,579
"Hermann, Carl Richard, zdl (D)",1869-1905,580
"Hermann, Friederike L. (D)",1879-1916,581
"Herrmann, C.T., zdl (D)",1808-1851,582
"Hes, Joh. Cornelia, ond. (N)",1884-1951,583
"Heuschmann, zr. Marie (D)",1898-1964+,584
"Heusdens, H.C., zdl (N)",1904-1942,585
"Heuvel, M van den (N)",,586
"Heyer, Philipp Jakob, zdl (D)",1807-,587
"Hibbard, Rev. Elisha R. (VS)",-1945+,588
"Hiebink Rooker, J., zdl (N)",1866-1943,589
"Hijkoop, Maarten Wl., diakon (N)",1885-1981,590
"Hildering, ds. H.A.C. (N)",1898-1986,591
"Himmelmann, J.H., zdl(D)",-1841,592
"Hiorth, F.W. (GB?)",,593
"Hippenstiel, Ludwig, zdl (D)",1971-1945,594
"Hissink, Jac. Assuerus (N)",1880-1941,595
"Hoefman, Roelf (N)",1900-1979,596
"Hoekendijk, C.J., zdl (N)",1873-1948,597
"Hoekendijk, zr. Marg. Louisa (N)",1902-1935,598
"Hoeksema, Auktje, ond. (N)",1908-±2000,599
"Hoekstra, arts G.J. (N)",1907-1987,600
"Hoefen/Höfen, Carl L.A., zdl (D)",1817-1890,601
"Hoezoo, Wessel, zdl (N)",1826-1896,602
"Hoffmann, Martha (D)",1899-1975,603
"Hoffmann, Wilhelm (D)",1868-1920,604
"Hofman, zr. L. (N)",1902-,605
"Hofman, Ph.H.C., zdl (N)",1876/7-1919,606
"Hofmeister, Ernst Eduard (D)",,607
"Hogerwaard, T. zdl (N)",1908-1972,608
"Holland, Ms. A.J. (VS)",,609
"Hollander, zr. H.H.B. (N)",1907-2000,610
"Holmberg, Ms. Hilda. C. (VS)",,611
"Holtz, F.W., zdl. (D)",1799-1843,612
"Homan, M., ond. (N)",1899-1991,613
"Hondius, mw. M.M., ond. (N)",1904-1964,614
"Hooft, L.K. van 't, arts (N)",1884-1938,615
"Hoogstraten, ds. S.A. van, zdl (!) (N)",1896-1945,616
"Hoppe, Erwin, zdl (D)",1906-1988,617
"Hoppe, F.W.H., zdl (D)",1892-,618
"Hörchner, mw. J. G., arts (N)",1905-1995,619
"Horley, Rev. Wm. Edw. (VS)",1870-1931,620
"Horn, E.B.G. (Georg), ond., (D)",1888-1971,621
"Horn, H.A. (VS)",,622
"Horn, Siegfried H.V. (D)",1908-1993,623
"Hörsch, zr. M. (Zwits.)",1900-1983,624
"Horst, F.C. van der, arts (N)",1903-1977,625
"Horstman, Reginus Joh., zdl (N)",1856-1924,626
"Houter, J.P.D. den, zdl (N)",1871-1903,627
"Höveker, J.E., zdl, (N)",1798-1873,628
"Hoven van Genderen, G. vd, zdl, (N)",1915-1985,629
"Höweler, dr. Th.A.H., arts (N)",1907-1994,630
"Howell, Ms. Mary E. (VS)",,631
"Huber, J., zdl (Zwits.)",1885-1951,632
"Hübert, Johann, zdl. (Rusland)",1864-1944,633
"Hudel, Ernst, zdl (D)",1903-1996,634
"Hueting, André, zdl (N)",1868-1961,635
"Huisingh, S., zdl (N)",1848-1902,636
"Huisman, zr. K. (N)",,637
"Huitema, mw. dr. W., arts (N)",1907-1990+,638
"Hulleman, zr. A.M., diakones (N)",1898-1985,639
"Hulman, zr. A.F.G. (N)",na 1956,640
"Hulman, Maria Antonia (N)",1881-1963,641
"Hulstra, A., zdl (N)",1865-1940,642
ongehuwd gebleven?,,643
"Hulzebos, zr. E., diakones (N)",1870-1945,644
"Hungerford, E.K.G. (Austr.)",,645
"Hupe, Johann Michael Carl, zdl (D)",1818-1861,646
"Hupperts, Johann G., zdl (D)",1812-1859,647
"Huvers, zr. H.J., diacones (N)",1897-1978,648
"Hutchinson, Maude (VS)",,649
"Huysingh, David (N)",1855-1904,650
"Iken, zr. Alida (N)",1890-1931,651
"d.v. J. Iken, geb. Depok, † Btv",,652
"Iken, J., zdl (N)",1881-1944,653
"Illing, Helmut, zdl (D)",1907-1979,654
"Ingham, E. (GB)",,655
"Ingwersen, ds. H.Ph. (N)",1878-1950,656
"Iperen, zr. Cornelia van (N)",1894-1997,657
"Irle, Heinrich, zdl (D)",1906-1983,658
"Irle, Tillman E., zdl. (D)",1848-1921/2,659
"Israel, Johan H.Chr., zdl (N)",1850-1935,660
"Jackson, Fred C. (VS)",-1942,661
"Jacobs, Johan Gerard R. (N)",1860-1920,662
"Jaesrich, G. (D), zwm (D)",-1866,663
"Jaffray, Margaret (Canada)",1907-1959,664
"Jaffray, Robert A. (Canada)",1873-1945,665
"Janfrüchte, E., zdl (D)",1844-1923,666
"Jansen, Arnoldus Hendrik (N)",-1931,667
"Jansen, Gerben Jacob, ond. (N)",1895-1944,668
"Jansen-v Engelen, M.B. (N)",1911-1977,669
"Jansen Klomp, G.H., diakoon (N)",1886-1952,670
"Jansen Schoonhoven, L., zdl (N)",1905-1984,671
"Jansz, Cornelis Pieter, ond. (N)",1886-1973,672
"Jansz, Pieter, zdl. (N)",1820-1904,673
"Jansz, Pieter Anthonie, zdl (N)",1853-1942/5,674
"Jaspers, G. arts (N)",,675
"Jellesma, J.E., zdl (N)",1816-1858,676
"Jenken, zr. Geertruida W.G. (N)",1902-1959,677
"Jens, F.J., zdl (N)",1889-1944,678
"Jens, K.Th., zdl (N)",1893-1974?,679
"Jens, W.L., zdl (N)",1849-1925,680
"Jens(s)en, Ch. (Skand.)",,681
"Jenssen, N. (Skand.)",,682
"Jeschawitz, Horst, zdl (D)",1901-1975,683
"Johannissen, S. (Skand.)",,684
"Johannsen, Peter Hinrich, zdl (D)",1839-1898,685
"Johannsen, Peter, arts (D)",1894-1950,686
"Jong, zr. Geertje de (N)",1911-1998,687
"Jong, Gjalt de, ond. (N)",1900-1987,688
"Jong, dr. Jan Pieter de, arts (N)",1901-1976,689
"Jong, Leentje de (N)",1894-,690
"Jong, zr. T. de (N)",1894-,691
"Jonge, mw. dr. J.A. de, arts (N)",1892/3-1978,692
"Jonkman, H., ond. (N)",1893-1957,693
" Joost, R.P.A.Ch. van, arts (N)",1902-1943/5,694
"Jordan, Karl-Heinz (D)",1911-1994,695
"Joustra, Meint, zdl (N)",1871-1926,696
"Juda, E.E., arts (N)",,697
"Judge, Bernard (Austr.)",1879-1959,698
"Juffernbruch, Fred., zdl (D)",,699
"Jung, Georg Johannes, zdl (D)",1862-1914,700
"Jungmichel, J.C., zdl (D)",1787-1843,701
"Jüngst, A. (D)",1860-1921,702
"Jürgens, Johannes, zdl (D)",1887-1952,703
"Juutilainen, H. (Finland)",,704
"Kaal, Hermanus, ond. (N)",1902-1988,705
"Kabelitz, H.K.O., zdl. (D)",-1929,706
"Kaiser, Herrmann W.F., zdl. (D)",1869-1953,707
"Kaiser, Wilhelm, zdl (D)",1904-1989,708
"Kal, E.Th., arts (N)",1911-1966,709
"Kam, Joseph, zdl/pred. (N)",1769-1833,710
"Kamma, dr. F.C., zdl (N)",1906-1987,711
"Kammann, Wilhelm, zdl (D)",1909-1942,712
ongehuwd gebleven?,,713
"Kamp, zr. Frieda (D)",1888-1964,714
"Kamp, Friedrich W., zdl. (D)",1853-1928,715
"Kamps, J.D., zwm (N)",1842-1871,716
"Kappner, Emil Oskar, zdl (D)",1878-1934,717
"Karbe, F.W., zdl (D)",1793-1828,718
"Karelse, ds. Jacobus (N)",1900-1995,719
"Kate, B. Berends ten, ond. (N)",1882-1938,720
"Kate, zr. H.F. ten (N)",1894-1980,721
"Kate, Marius Anne ten, ond. (N)",1893-1979,722
"Kate, Pieter ten, zdl (N) † 29-11-18",1880-1918,723
"Kate, zr. P.F. ten (N)",1904-1995,724
"Kats, Jacob, zdl (N)",1875-1945,725
"Keijser, P. de, zdl (N)",1803/4-1840,726
"Keil, Klara, diakones (D)",±1885-1937+,727
"Kekem, E.G. van, zdl (N)",1902-1971,728
"Kelling, Fr., zwm (D)",1829-1900,729
"Kelling, M., zdl (N)",1863-1912,730
"Kelling, Paul, zdl (N)",1865-1924,731
"Kemp, Margaret (VS)",,732
"Kempen, dr. A.E. van arts (N)",1909-?,733
"Kempers, zr. C., diakones (N)",1900-2000,734
"Kersten, Joh. Gottlieb, zdl (D?)",1860-1900,735
"Kessel, Valentin, zdl (D)",1850-1932,736
"Ketel, dr. Arie Pieter, arts (N)",1894-1971,737
"Keuch, Wilhelm, zdl (D)",1903-1930,738
"Keuchenius, ds. Adr. François (N)",1895-1944,739
"Keulemans, zr. A.F.C. (N)",1912-2006,740
"Keyser, P., zdl (N)",1801/2-1940,741
"Kieft, Nicolaas, zdl (N)",1897-1942/5,742
"Kienlein, Heinrich, zdl (D)",1876-1929,743
"Kijftenbelt, F., zdl (N)",1835-1908,744
"Kijne, I.S., zdl (N)",1899-1970,745
"Kime, Dallas Spencer (VS)",1889-1985,746
"Kind, Fr. Chr. Wilhelm, zdl (D)",1830-1859,747
"Kiss, Andreios von, arts (Hong.)",,748
"Kissing, Margarete (D)",1905-1998,749
"Klaassen, Johann, zdl. (Rusland)",1872-1950,750
"Klaassen, zr. Maria (D)",1906-,751
"Klaassen, Thomas Fred., zdl (N)",1836-1871,752
"Klaiber, J., zdl (Zwits.)",1896-1962,753
"Klaiss, Johannes, ond. (D)",1905-1962,754
"Klammer, J. Carl, zdl. (D)",1826-1919,755
ongehuwd gebleven,,756
"Klappert, Erich, zdl (D)",1908-1982,757
"Klarenbeek, W.N., zdl. (N)",1888-1945,758
"Klaus, Armin V. (VS)",,759
"Klaver, Piet (N)",1890-1970,760
"Klaveren, Richard D. van (VS)",,761
"Klein, zr. Elisabeth (N)",1905-,762
"Kleine, Heinrich de (D)",1901-1970,763
"Kleinjan, D.J., timmerman, smid (N)",1883-1915,764
"Kleyn, dr. L.J., arts (N)",1908-1944,765
"Klift, H. van der, zdl (N)",1885-1952,766
"Klijnstra, Wolke, zdl (N)",1864-1907,767
"Klinkert, H.C., zdl. (N)",1829-1913,768
"Knecht, P. (Zwits.)",1793/4-1823,769
"Ködding, Mathilde (D)",1878-1951,770
"Ködding, Wilhelm, zdl (D)",1837-1897,771
"Koelewijn, Dirk, ond. (N)",1869-1936,772
"Koene, zr. Agatha Maria (N)",1909-,773
"Koeverden Brouwer, G.H. v,an (N)",1905-1953+,774
"Kok, A., zdl (N)",1885-1970,775
"Kok, Dirk, zdl (N)",1890-1944,776
"Kolk, Jan Christoffel, zdl (N)",1908-1987,777
"Kölling, W.J. (D)",,778
"Kombrink, zr. M. (N)",-1974,779
"Könemann, Willem, zdl (N)",1905-1964,780
"Kooi, zr. Ietje (N)",1906-,781
"Kooistra, A., zdl (N)",1894-1969,782
"Koole, Jacob, ond. (N)",1897-1944,783
"Koomen, P. de, ond. (N)",1890-,784
"Koops-Veldkamp, ny. zr. C. (N) ",,785
"Korvinus, Hinka Laura, ond. (N)",1913-1987,786
"Korvinus, ds. L.W. (N)",1910-1975,787
"Koster, Johan Philip Daniel, zdl (N)",1829-1864,788
"Kraemer, dr. H. (N)",1888-1965,789
"Krafft, dr. A.J.C., ond. (N)",1892-1964,790
"theoloog, historicus, geograaf",,791
"Kramer, Friedrich, zdl (D)",1844-1920,792
"Kranz, Sophie P. (D)",-1896,793
"Krautschick, A.I. (D)",,794
"Kreck, Fritz, zdl (D)",1905-1982,795
"Kreemer, J., zdl (N)",1844/5-1907,796
"Krieg, Elfriede, ond. (D)",1889-> 1952,797
"Krijger-Hulleman, A.M., zie Hulleman, A .M.",,798
"Krijger, ds. L.P. (N)",1884-1977,799
"Krijger, D.H., verpleger (N)",1893-1987,800
"Kroeskamp, dr. H., ond. (N)",1897- 1977,801
"Kroeze, zr. Grietje Rensina (N)",1903-2005,802
"Kroh, Paul, zdl. (D)",1897-1981,803
"Kronshage, zr. Antonie (D)",1884-,804
"Kruit, zr. Petr. van der (N)",1897-,805
"Kruijver, zr. Maartje (N)",1894-,806
"Krul, P., zdl (N)",1878-1945,807
"Krumm, Ewald F. (D)",1866-1903,808
"Krüsmann, F.W., zdl (D)",-1837,809
"Kruyt, A., zdl (N)",1860-1916,810
"Kruyt, dr. Alb.C., zdl (N)",1869-1949,811
"Kruyt, D.J., diakones (N) ",1882-,812
"Kruyt, H.C., zdl. (N)",1862-1922,813
"Kruyt sr., J., zdl (N)",1835-1918,814
"Kruyt jr., J., ond., zdl (N)",1893-1978,815
"Kruyt, mw. J. (""Asje""), arts (N)",1910-1974,816
"Kruyt, zr. Maria (""Miep"") (N)",1911-1953,817
"Kübler, Otto, zdl-koopman (D)",1874-1935+,818
"Kuckel, Elise, ond. (D)",1893-1990,819
"Kühnen, Carl Rudolf, zdl. (D)",1865-1935,820
"Kühnle, F., zdl (D)",1887-1959,821
"Kuiper, ds. G.D. (N)",1903-1974,822
"Kuipers, ds. Thomas (N)",1890-1945,823
"Kuyper, zr. Joh. Hendrika (N)",1875-1948,824
"Lagemann, Heinrich, zdl (D)",1851-1933,825
"Lambooij, ds. Pieter J. (N)",1896-1983,826
"Lambregtse, zr. J., diakones (N)",,827
"Lammers, L., zdl (N)",-1824,828
ongehuwd gebleven,,829
"Lampmann, Heinrich, zdl (D)",1880-1967,830
"Lamprecht, mw. E. (D)",1910-,831
"Land, G., zdl (N)",1866-1942+,832
"Land, zr. (N).",,833
"Landgrebe, Johann Paulus, zdl (D)",1873-1944,834
"Landwehr, August (D)",1864-1912,835
"Lange, Adrianus de, zdl (N)",1842-1910,836
"Langenbruch, zr. Marta (D)",1907-1971,837
"Langenmann, Marie (D)",1880-1966,838
"Langeveld, Joh. Martinus, zdl (N)",1909-1990,839
"Langeveld-Steller, Amanda A.C. (N)",1905-1994,840
"Lasschuit, H., zdl (N)", 1878-1949,841
"Lategahn, Carl, zdl (D)",1862-1943,842
"Latsch, Karl, zdl (D)",1884-1940,843
"Lau, Frieda (D)",1892-1949,844
"Lee, Rev. Edwin Ferd. (VS)",1884-1948,845
"Leersum, C.P. van, arts (N)",1901-1970,846
"Leij, Siebe van der, arts (N)",1867-1938,847
"Leipoldt, Chr. Friedrich, zdl (D)",1844-1911,848
"Lenk, zr. K. (D)",1886-..,849
"Lenn, Paul R. (C.Y. Lam, China)",±1905-,850
"Lenz, Ludwig Wilhelm, zwm (D)",1823-1856,851
ongehuwd gebleven,,852
"Lenz, zr. Regina (D)",1893-1980,853
"Lergon, Luise (D)",1852-1924,854
"Le Roy, J.E. (Anna) (VS)",,855
"Lett, August, zdl (D)",1861-1909,856
"Letteboer, J.H., zdl (N)",1871-1929,857
"Leung, T.K. (China)",±1905-,858
"Leussen, Chr.J. van, arts (N)",1896-1975,859
"Lever, mevr. (N)",,860
"Lewandowsky, Ed. H., zdl (D)",1870-1900,861
"Liefde, C.J. van de, zdl (N)",1836-1898,862
"Limburg, A., ond. (N)",1860-1924,863
"Linde, Sybolt van der, zdl (N)",1902-1995,864
ongehuwd gebleven,,865
"Lindeboom, Lucas B., arts (N)",1907-1981,866
"Linden, J.C. ter, zie Terlinden",,867
"Linden, Corn. Dor. van der, zwm (N)",1829-1855,868
ongehuwd gebleven,,869
"Linden, D.J. van der, zdl (N)",1837-1885,870
"Linden, ds. J. van der (N)",1907-1998,871
"Linden, zr. M. van der (N)",,872
"Linemann, F.H., zdl (D)",1815-1883,873
"Link, Andreas (D)",1871-1938,874
"Link, Wilhelm, zdl (D)",1902-1958,875
"Linn, C.Y. (Jason S.) (China)",1903-1973+,876
"Lock, zr. M.W. (N)",1885-1969,877
"Lodder, dr. Johannes, arts (N)",1900-1959,878
"Loeff, H.A., zdl (N)",1878-1960,879
"Loewenstein, Hermann (D)",1898-,880
"Loggen (sic), zr. Grada R. Gesina (N)",1870-,881
"Lombeck, August H., zdl (D)",1868-1941,882
"Looijenga, Martha (N)",1883-,883
"Loois, H., verpleger (N)",1884-1944,884
"Loosdrecht, A.A. van de, zdl (N)",1885-1917,885
"Loots, zr. M., diacones (N)",1889/0-1983,886
"Lörcher, W., zdl (Zwits.)",1900-1982,887
"Lötz, Carl, zdl (D)",1877-1932,888
"Louis, Maria, ond. (D)",1866-,889
"Louwerier, D., zdl (N)",1871-1932+,890
"Louwerier, J., zdl (N)",1840-1933,891
"Löwen, Peter, zdl. (Rusland)",1894-1955,892
"Lück, Albert, (D)",1886-1942,893
"Luijendijk, ds. P.J. (N)",1907-1985,894
"Luijke (Luyke) W., zdl (N)",1796/7-1886 NZG,895
"Luinenburg, mw. D., ond. (N)",1902-,896
"Luinenburg, O. (N)",1899-,897
"Luinenburg, S., zdl (N)",1874-1959,898
"Luitjes, Tjerk (N)",1907-1989,899
"Lukkien, E.W. (N)",1893-,900
"Lyman, Henry, zdl (VS)",1809-1834,901
"Maan, G., zdl (N)",1869-1954,902
"Mansell, Rev. Harry B. (VS)",1882-1956,903
"Marcks, Otto, zdl (D)",1875-1937,904
"Marle, T.G. van, arts (N)",1874-,905
"Marsh, Lilian Frences (GB)",-1964,906
"Marstaller, zr. Emilie (Zwits.)",1911-1985,907
"Martin, Karl Alfred, zdl (D)",1897-1971,908
"Mason, Emily Joy (Canada)",1901-1970,909
"Mattern, A., zdl. (D)",1806/7-'42,910
"Matthes, dr. Benjamin Fred. (N)",1818-1908,911
"Matthews, Joseph B., ond. (VS)",1894-1966,912
"Mayer, zr. Elisabeth (D)",1904-1951,913
"McFerren, Rev. D.D. (VS)",,914
"Means, Rev. Paul Banwell, ond. (VS)",1894-1980,915
"Medhurst, Walter H., zdl (GB)",1796-1857,916
"Meelhuysen, zr. M.W. (N)",1916-1979,917
"Meerwaldt, Jac. Henr. sr., ond. (N)",1854-1920,918
"Meerwaldt, Jac. Hendr. jr. (N)",1887-1967,919
"Meeuwig, Joh. Hermanus, zdl (N)",1839-±1923,920
"Meijer, zr. J.M.J. (N)",-1994+,921
"Meijerink, H.J.W.A., ond. (N)",1884-1959,922
"Meijwes (Meeuwes), Jan (N)",1864-1955,923
"Meinders, zr. Elisabeth (N)",1894-1962,924
"Meinefeld, Jutta (D)",1903-1990,925
"Meis, Carl Wilhelm, zdl (D)",1867-1922,926
"Meisel, Richard, zdl (D)",1872-1946,927
"Meltzer, John Clinton, zdl (VS)",1906-1994,928
"Menzel, Gustav, zdl (D)",1908-1999,929
"Merkelijn, ds. Aart (N)",1878-1943,930
"Mertin, zr. Hedwig (D)",1896-1955,931
"Merwart, mw. Ph.A.M., ond. (N)",1889-1943/5,932
"Metz, Judicus, zdl (N)",1867-1944,933
"Metzler, Anna Elisabeth (D)",1885-1985,934
"Metzler, Wilhelm, zdl (D)",1847-1935,935
"Meyer/Meijer, dhr. G. (N)",,936
"Meyer, zr. Gesina Johanna (N)",1898-,937
"Meyer, zr. J.M.J., zie Meijer ",,938
"Meyer, Otto, zdl (D)",,939
"Michaelis, Johann L., zwm (D)",±1828-1866,940
"Michaelis, Oskar Paul, arts (D)",1907,941
"Michel, Johannes K.K., zdl (D)",1850-1915,942
"Michel, Wilhelm, zdl (D)",1908-1968,943
"Mickelson, Einar, zdl (VS)",,944
"Middelkoop, dr. Pieter (N)",1895-1973,945
"Midtbö, Vincent (Skand.)",1922-1944,946
"(Zie Synneva Vestheim, Alle dager)",,947
"Miedema, drs. C. J., ond/verpl. (N)",1908-1994,948
"Miedema, Jelle, arts (N)",1897-1978,949
"Miedema, K., zdl (N)",1904-1959,950
"Miesen, J.H.W. van der, zdl (N)",1873-1936+,951
"Mikat, Anna (D)",1885-1969,952
"Milne, William, zdl (GB)",1785-1822,953
"Mindermann, Brüne, zdl (D)",1872-1960,954
"Minkhorst, J.H., ond. (N)",1894-1943,955
"Mitchell, Hubert. (VS)",1907-1995,956
"Mittelstädt, Kurt E. (D)",1901-1984,957
"Miyahira, Shusho/Hidemata (Jpg)",1904-1976,958
"Mobach, Tjebbe, ond. (N)",1890-1983,959
"Moens, Hendrik P., zwm (N)",1831-1882,960
"Mohri, August (D)",1835-1897,961
"Mol, zr. Gerritje (N)",1873-1929,962
"Mol, Pieter Gerrit (N)",1878-1907,963
"Mol van Otterloo, A. de,(N)",1893-1965+,964
"Mollema, G.W.M., zdl (N)",1903-1950,965
"Möller, Daniel (D)",1879-1954,966
ongehuwd gebleven? ?,,967
"Möller, Friedrich (D)",1907-1982,968
"Möller, Julius, arts (D)",1884-1942,969
"Momeyer, August (D)",1868-1941,970
"Mooy/ij, Jacoba, ond. (N)",,971
"Morken, David E. (VS)",1910-2003,972
"Mosche, C.F.F. (D), zwm (D)",1840-1868,973
"Motte, Georges (Belgia)",±1900-1971+,974
"Mouw, J. Arthur, zdl (VS)",1903-1987,975
"Mühlnickel, J.G. Adolph, zwm (D)",1822-1897,976
"Mühlnickel, August, zwm (D)",1826-1859,977
"Muijs, zr. Hendrika Cornelia (N)",1901-1995,978
"Muis, J.J., zdl (N)",1868-1945,979
"Mulder, J., ond. (N)",,980
"Muller, D., zdl (Zwits.)",1777/8-1826,981
"Muller, Marinus Gerard, arts (N)",1894-1981,982
"Müller, Eduard, zdl (D)",1879-1937+,983
ongehuwd gebleven?,,984
"Müller, H., zdl (D)",1866-1923+,985
ongehuwd gebleven,,986
"Müller, H., zdl (N)",,987
ongehuwd gebleven,,988
"Müller, H. zdl (Zwits.)",1895-,989
ongehuwd gebleven?,,990
"Müller, W., zdl (D)",1898-1934,991
"Müller, Wilhelm, zdl (D)",1878-1942,992
"Müller, Wilhelm, zdl (D)",1905-1976,993
"Müller-Krüger, dr. Th. (D)",1902-1980,994
"Munk, Jan Carel, ond. (N)",1881-1928 ,995
"Munnik, Franciscus de, zdl (N)",1865-1938,996
"Munson, Albert (VS)",1890-1979,997
"Munson, Melvin (VS)",1889-1961,998
"Munson, Ralph Waldo (VS)",1840-1934,999
"Munson, Samuel, zdl (VS)",1804-1834,1000
"Munters, zr. Nic. Helena (N)",1909-,1001
"Muyen/Muijen, zr. Maria van (N)",1892-1988,1002
"Muylwijk, J. van, zdl (N)",1881-1945,1003
"Muylwijk, zr. Joh. Adr. Maria (N)",1903-,1004
"Muijs/Muys, zr. Hendr. Clasina (N)",1901-,1005
"Myers, Ms. Mary, ond. (VS)",1866-,1006
"Nachtigal, Peter, zdl. (Rusland)",1881-1928,1007
"Nauta, H.J., ond. (N)",1881-1945,1008
"Neef, A.J. de, zdl (N)",1892-1948,1009
"Needham, Hester (GB)",1843-1897,1010
"Neef, N. de, ond. (N)",1884-1974,1011
"Nes, ds. C. van (N)",1906-1988,1012
"Netelenbos, ds. Lambertus (N)",1876-1955,1013
"Netelenbos, zr. Wilh. Hendr. (N)",1879-1964,1014
"Neubronner, zie Tuuk, van der",,1015
"Neumann, J.H., zdl (N)",1876-1949,1016
"Neumann, Margarethe (D)",1869-,1017
"Nevius, Elbert S. (VS)",1808-1897,1018
"Nieboer, zr. Hilke (N)",1899-1996,1019
"Nicholls, Ms. Lee Edna (VS)",1880-1951? ,1020
"Nielsen, Clara, ond. (D)",1910-1993,1021
"Niemann, Edward Ward (D)",1908-1999,1022
"Niemann, Lisette (D)",1850-1921,1023
"Niephaus, Heinrich, zdl (D)",1875-1933,1024
"Niet, mr. Maarten de (N)",1904-1979,1025
"Niet, zr. Maria Adriana de (N)",1897-1989,1026
"Niet, G.D.W. te, zwm (ond.) (N)",1825-1905,1027
"Nieuwenhuizen, zr. C.W. van (N)",,1028
"Nijenhuis, J.H.D., zdl (N)",1893-1944,1029
"Nikkel, Gerhard, zdl. (Rusland)",1861-1932,1030
"Niks, J.F., zdl (N)",1843-1930,1031
"Noll, Johannes, zdl (D)",1869-1954,1032
"Nommensen, Ingwer L., zdl (D)",1834-1918,1033
"Nommensen, Jon. Tim., zdl (D)",1873-1950,1034
"Nonnenberg, Rudolf H.K., ond. (D)",1903-1971,1035
"Noordhoff, G. (O-Friesl.), zdl (D)",1801/2-'42,1036
ongehuwd gebleven?,,1037
"Noordzij, Willem A., ond. (N)",1892-1942/5,1038
"Noort, A.C., ond. (N)",1906-1982,1039
"Noort, Rev. J. van den (VS)",,1040
"Nooy, H.W., zdl (N)",1825-1853,1041
"Noppen, L.M. van, zdl (N)",1887-1943,1042
" Nortier, dr. Adriaan, arts (N)",1885-1940,1043
"Nortier, C.W., zdl (N)",1888-1963,1044
"Noteboom, L., arts (N)",,1045
"Notten, Diederik Theod., ond. (N)",1882-1936,1046
"Nusteeg, zr. A. (N)",1880/1-1964,1047
"Oechsli, Rev. Leonard (VS)",1885-1955,1048
"Oelschlaeger, Ms. Louise (VS)",,1049
"Offringa, Joh., arts (N)",1883-1950,1050
"Ohme, B.O. (D)",1880-1945,1051
"Olesen, Ms. E., ond. (VS)",,1052
"Onvlee, dr. Louis (N)",1893-1986,1053
"Ooms, Antje, ond. (N)",1889-1979,1054
"Oosterhuis, Jan W., arts (N)",1884-1955,1055
"Oosterveen, Harm, arts (N)",1908-1944,1056
"Orlopp, zr. Maria (D)",1901-1994,1057
"Ormel, zr. J.Th. (N)",1913-1961,1058
"Ostrom, Rev. Egon (Swedia)",1903-1945,1059
"Otterspoor, W., zdl. (N)",1840-1869,1060
ongehuwd gebleven,,1061
"Ottow, C.W., zwm (D)",1826-1862,1062
"Ottow, J.C.G., zdl/ond. (N)",1861-1945,1063
"Ottow, M. (N)",1898-1983,1064
"Pakianathan, Solomon Swa­mi­dason ",1881-1962,1065
(geb. in Zuid-India),,1066
"Palm, mw. H.M. (N)",,1067
"Panman, zr. Anna Joh. Helena (N)",1893-1980,1068
"Pape, Franz, zwm (D)",±1833-1874+,1069
"Papendick, Margarete (D)",1884-1960,1070
"Patterson, W.W.m zdl. (VS)",,1071
"Pattison, L.O. (VS)",,1072
